nconst	primaryName	birthYear	deathYear
nm0022607	Carl Alstrup	1877	1942
nm0022608	Oda Alstrup	1888	1964
nm0022962	Altmann-Nemo	""	""
nm0023107	Hermanos Alva	""	""
nm0023121	Hjalmar Alvar	1877	1940
nm0024344	Pitje Ambreville	""	""
nm0024464	Arturo Ambrosio	1870	1960
nm0024706	Gerald Ames	1881	1933
nm0024876	José Amigo	""	""
nm0024940	Paul Amiot	1886	1979
nm0026153	Hans Christian Andersen	1805	1875
nm0026157	Herr Andersen	1871	1948
nm0026342	Dave Anderson	1884	1950
nm0026387	Augusta Anderson	1875	1951
nm0026474	C.E. Anderson	1882	1956
nm0026485	Carl Anderson	1865	1948
nm0026526	Claire Anderson	1895	1964
nm0026696	Ernest Anderson	""	""
nm0027159	Mary Anderson	1897	1986
nm0027209	Mignon Anderson	1892	1983
nm0027244	Nellie Anderson	1870	1960
nm0027523	Tom Anderson	""	""
nm0027708	Johan Andersson	""	""
nm0027992	Fern Andra	1893	1974
nm0028658	Frank Andrews	1866	1948
nm0028916	Leonid Andreyev	1871	1919
nm0029029	Josette Andriot	1886	1942
nm0029139	Albert Andruss	""	""
nm0029166	Mihály Andrássy gróf	""	""
nm0029167	Katinka Andrássy grófnö	1892	1985
nm0029198	Gerda André	1876	1960
nm0029244	Victor André	""	""
nm0029253	Henri Andréani	1877	1936
nm0029525	Bert Angeles	1875	1950
nm0029671	Jean Angelo	1875	1933
nm0029752	François Angely	1847	1931
nm0029806	Martha Angerstein-Licho	1885	1932
nm0030170	Johan Ankerstjerne	1886	1959
nm0030342	Fred Annerly	1887	1967
nm0030660	George W. Anson	1847	1920
nm0030667	Master Anson	""	""
nm0030805	Annegrethe Antonsen	1855	1930
nm0031834	Tsuru Aoki	1892	1961
nm0032402	Roy Applegate	1878	1950
nm0032573	Aleksei Nikolaevich Apukhtin	""	""
nm0033446	Macklyn Arbuckle	1866	1931
nm0033732	T. Archer	""	""
nm0033975	Edwin Arden	1864	1918
nm0034436	Victor Arfvidson	1887	1921
nm0034453	José Argelagués	""	""
nm0034454	Juan Argelagués	""	""
nm0034548	Juan Arguelagues	""	""
nm0034571	Señorita Arguimbau	""	""
nm0035187	Charles Arling	1880	1922
nm0035412	Emilio Armengol	""	""
nm0035482	Walter Armin	1878	1959
nm0035502	Frederick S. Armitage	1874	1933
nm0035572	Jean Armour	1890	""
nm0035627	Billy Armstrong	1891	1924
nm0035854	Paul Armstrong	1869	1915
nm0035865	R.D. Armstrong	""	""
nm0036048	Étienne Arnaud	1879	1955
nm0036060	Françoise Arnaud	""	""
nm0036298	Carlos Arniches	1866	1943
nm0036380	Cecile Arnold	1891	1931
nm0036507	John Arnold	1889	1964
nm0036662	Victor Arnold	1873	1914
nm0037119	Señora Arquibau	""	""
nm0037124	Alexandre Arquillière	1870	1953
nm0037414	Alberto Arroyo	1894	""
nm0037751	Dorothy Arthur	""	""
nm0037789	Julia Arthur	1868	1950
nm0037843	Timothy Shay Arthur	1809	1885
nm0037849	Walter Arthur	1875	""
nm0038106	Linda Arvidson	1884	1949
nm0038243	Antonia Arévalo	""	""
nm0038260	L. As	""	""
nm0038700	Florence Ashbrooke	1861	1934
nm0038798	Josie Ashdown	""	""
nm0038884	Max Asher	1885	1957
nm0039021	Arthur Ashley	1886	1970
nm0039276	Sylvia Ashton	1880	1940
nm0039718	Mary Asquith	1873	1942
nm0040086	Camille Astor	1896	1944
nm0040750	Josephine Atkinson	1882	1954
nm0041404	Helen Aubrey	1869	""
nm0041656	Carl Auen	1892	1972
nm0041669	Florence Auer	1880	1962
nm0041858	Edwin August	1883	1964
nm0042347	Charles Austin	""	""
nm0042422	Jere Austin	1876	1927
nm0042694	Maurice Auzat	1890	1966
nm0043018	Charles Avery	1873	1926
nm0043508	Konstantin Axelsson	1848	1915
nm0043881	David Aylott	1885	1969
nm0043969	Agnes Ayres	1898	1940
nm0043987	James Ayres	""	""
nm0044014	Sydney Ayres	1879	1916
nm0045714	Constance Backner	1889	1969
nm0045800	Lloyd Bacon	1889	1955
nm0045867	André Bacqué	1880	1945
nm0046075	Madame Bartet	1876	1949
nm0046080	Charles J. Badger	1853	1932
nm0046108	Helen Badgley	1908	1977
nm0046403	Baert	""	""
nm0046885	Bahier	""	""
nm0047211	Consuelo Bailey	1890	""
nm0047333	Joseph Bailey	""	""
nm0047534	William Bailey	1886	1962
nm0047760	Rolinda Bainbridge	1875	1943
nm0047761	Sherman Bainbridge	1880	1950
nm0047889	Leah Baird	1883	1971
nm0048356	Dan Baker	""	""
nm0048408	Doris Baker	1907	1998
nm0048459	Friend Baker	1890	1988
nm0048478	George D. Baker	1868	1933
nm0048502	Harold Baker	""	""
nm0048512	Hettie Grey Baker	1881	1957
nm0048612	Joseph Baker	""	""
nm0048786	Mr. Baker	""	""
nm0048787	Mrs. Baker	""	""
nm0048838	R.F. Baker	""	""
nm0048864	Richard Foster Baker	1857	1921
nm0048874	Robert M. Baker	1874	1929
nm0049367	Josep Balaguer	""	""
nm0049370	Víctor Balaguer	""	""
nm0049905	Frank D. Baldwin	1842	1923
nm0049995	Ruth Ann Baldwin	1886	""
nm0050022	Winnie Baldwin	""	""
nm0050150	Augustus Balfour	1866	1940
nm0050155	Elsie Balfour	""	""
nm0050157	Eve Balfour	1890	1955
nm0050169	Sue Balfour	1870	1937
nm0050369	Eustace Hale Ball	1881	1931
nm0051042	Lidia Balogh	1870	1911
nm0051140	Fred J. Balshofer	1877	1969
nm0051304	Honoré de Balzac	1799	1850
nm0051419	Joseph Jay Bamberger	1878	1961
nm0051445	Gertrude Bambrick	1893	1974
nm0051911	Herman Bang	1857	1912
nm0052226	Perry Banks	1877	1934
nm0053031	Zoya Barantsevich	1896	1952
nm0053065	Blanche Barat	""	""
nm0053119	Giuseppe Barattolo	""	""
nm0053425	La Verne Barber	""	""
nm0053639	Charlotte Barbier-Krauss	1877	1938
nm0053820	Edwin Barbour	""	1914
nm0054011	Carl Barcklind	1873	1945
nm0054036	Don Barclay	1892	1975
nm0054067	Lila Barclay	1884	1965
nm0054337	Camille Bardou	1872	1941
nm0054687	Mathilde Baring	1879	1954
nm0054736	Madeleine Barjac	""	""
nm0054884	Florence Barker	1891	1913
nm0054944	Mary Barker	1848	1913
nm0054977	Reginald Barker	1886	1945
nm0055011	William Barker	1868	1951
nm0055226	D. Barlow	""	""
nm0055607	George Barnes	1880	1951
nm0055630	J.H. Barnes	1850	1925
nm0055661	Justus D. Barnes	1862	1946
